name,homepage,profile
Emmanuel J. Candes,https://statistics.stanford.edu/people/emmanuel-j-candes,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Candes_2014.jpg?itok=fYWC2e8r
Sourav Chatterjee,https://statistics.stanford.edu/people/sourav-chatterjee,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/chatterjee_new.jpg?itok=P1bo0p56
Amir Dembo,https://statistics.stanford.edu/people/amir-dembo,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Dembo_2014.jpg?itok=S4SE1jYK
Persi Diaconis,https://statistics.stanford.edu/people/persi-diaconis,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Diaconis_2014.jpg?itok=9Eq_k_-M
David Donoho,https://statistics.stanford.edu/people/david-donoho,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/donoho_2018.jpg?itok=yGbB84Uy
Emily B. Fox,https://statistics.stanford.edu/people/emily-b-fox,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Emily-Fox_0.jpg?itok=_-stgQf2
Trevor J. Hastie,https://statistics.stanford.edu/people/trevor-j-hastie,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/hastie_new.jpg?itok=_rxkY4Xt
Susan Holmes,https://statistics.stanford.edu/people/susan-holmes,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/SHolmesCK2.png?itok=UO-S1ejv
Iain Johnstone,https://statistics.stanford.edu/people/iain-johnstone,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/johnstone_new.jpg?itok=WYLDmw4A
Tze Leung Lai,https://statistics.stanford.edu/people/tze-leung-lai,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Lai_2014.jpg?itok=Ye3vJ2at
Andrea Montanari,https://statistics.stanford.edu/people/andrea-montanari,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/montanar.jpg?itok=MEa5nFhk
Art B. Owen,https://statistics.stanford.edu/people/art-b-owen,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/OwenAB.jpg?itok=elTOE6fL
Joseph P. Romano,https://statistics.stanford.edu/people/joseph-p-romano,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Romano_2021.jpg?itok=nmzVgyS5
Chiara Sabatti,https://statistics.stanford.edu/people/chiara-sabatti,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Sabatti_2014.jpg?itok=0RIVd5KW
David O. Siegmund,https://statistics.stanford.edu/people/david-o-siegmund,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/siegmund_color.jpg?itok=x7m2uRJj
Jonathan Taylor,https://statistics.stanford.edu/people/jonathan-taylor,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Taylor_2010.jpg?itok=1emGoD6b
Robert Tibshirani,https://statistics.stanford.edu/people/robert-tibshirani,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/tibshirani_new.jpg?itok=IGRMV3nr
Guenther Walther,https://statistics.stanford.edu/people/guenther-walther,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Walther_2014-web.jpg?itok=OResIwDX
Wing Hung Wong,https://statistics.stanford.edu/people/wing-hung-wong,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/wong_new.jpg?itok=UaCQg3GM
John Duchi,https://statistics.stanford.edu/people/john-duchi,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Duchi.jpg?itok=AFR-smPM
Scott Linderman,https://statistics.stanford.edu/people/scott-linderman,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Scott-Linderman.jpg?itok=HwUVMvMZ
Tengyu Ma,https://statistics.stanford.edu/people/tengyu-ma,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Tengyu-Ma.jpg?itok=fCPmdcoo
Julia Palacios,https://statistics.stanford.edu/people/julia-palacios,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Julia-Palacios.jpg?itok=gkeJ2_ng
Dominik Rothenhausler,https://statistics.stanford.edu/people/dominik-rothenh%C3%A4usler,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Dominik-Rothenh%C3%A4usler.jpg?itok=PUkQ2ZZO
Tselil Schramm,https://statistics.stanford.edu/people/tselil-schramm,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/schramm.jpg?itok=lQjLnFFI
Paul Switzer,https://statistics.stanford.edu/people/paul-switzer,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/Switzer_2014.jpg?itok=_pn5SQfL
Jerome H. Friedman,https://statistics.stanford.edu/people/jerome-h-friedman,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/friedman_new.jpg?itok=nr5h8Agk
Bradley Efron,https://statistics.stanford.edu/people/bradley-efron,https://statistics.stanford.edu/sites/g/files/sbiybj6031/f/styles/large-square/public/efron_new.jpg?itok=JIrL4OXr
