排名,学校名称,所在城市,学校英文名,学校缩写,主页,维护负责人
1,斯坦福大学-统计学系,"Stanford, CA","Stanford University (Dept, of Statistics)",SU-DS,,
2,加州大学伯克利分校-统计学系,"Berkeley, CA","University of California—Berkeley (Dept, of Statistics)",UCB-DS,,
3,哈佛大学-生物统计学系,"Boston, MA","Harvard University (Dept, of Biostatistics)",HU-DB,,
3,约翰霍普金斯大学-生物统计学系,"Baltimore, MD","Johns Hopkins University (Dept, of Biostatistics)",JHU-DB,,
3,华盛顿大学-生物统计学系,"Seattle, WA","University of Washington (Dept, of Biostatistics)",UW-DB,,
6,哈佛大学-统计学系,"Cambridge, MA","Harvard University (Dept, of Statistics)",HU-DS,,
6,芝加哥大学-统计学系,"Chicago, IL","University of Chicago (Dept, of Statistics)",UC-DS,,
8,卡耐基梅隆大学-统计学系,"Pittsburgh, PA","Carnegie Mellon University (Dept, of Statistics)",CMU-DS,http://www.stat.cmu.edu/,
8,北卡罗米纳大学教堂山分校-生物统计学系,"Chapel Hill, NC","University of North Carolina—Chapel Hill (Dept, of Biostatistics)",UNCCH-DB,,
8,华盛顿大学-统计学系,"Seattle, WA","University of Washington (Dept, of Statistics)",UW-DS,,
11,密朝既学安娜堡分校-生物统计学系,"Ann Arbor, Ml","University of Michigan—Ann Arbor (Dept, of Biostatistics)",UMAA-DB,,
12,杜克大学-统计学系,"Durham, NC","Duke University (Dept, of Statistical Science)",DU-DSS,,
12,加州大学伯克利分校-生物统计学系,"Berkeley, CA",University of California—Berkeley (Interdepartmental Group in Biostatistics),UCB-IGB,,
12,密朝既学安娜堡分校-统计学系,"Ann Arbor, Ml","University of Michigan—Ann Arbor (Dept, of Statistics)",UMAA-DS,,
12,宾夕法尼亚大学-统计学系,"Philadelphia, PA","University of Pennsylvania (Dept, of Statistics)",UP-DS,,
16,哥伦比亚大学-统计学系,"New York, NY","Columbia University (Dept, of Statistics)",CU-DS,,
16,北卡罗来纳州立大学-统计学系,"Raleigh, NC","North Carolina State University (Dept, of Statistics)",NCSU-DS,,
16,威斯康辛大学麦迪逊分校-统计学系,"Madison, Wl","University of Wisconsin—Madison (Dept, of Statistics)",UWM-DS,,
19,北卡罗来纳大学教堂山分校-统计与运筹研究系,"Chapel Hill, NC","University of North Carolina—Chapel Hill (Dept, of Statistics and Operations Research)",UNCCH-DSOR,,
20,康奈尔大学-统计学系,"Ithaca, NY","Cornell University (Dept, of Statistical Science)",CU-DSS,,
20,爰荷华州立大学-统计学系,"Ames, IA","Iowa State University (Dept, of Statistics)",ISU-DS,,
20,宾州州立大学公园分校-统计学系,"University Park, PA","Pennsylvania State University (Dept, of Statistics)",PSU-DS,,
20,德州农工大学-统计学系,"College Station, TX","Texas A&M University—College Station (Dept, of Statistics)",TAMUCS-DS,,
24,明尼苏达大学双城分校-公共卫生学院,"Minneapolis, MN",University of Minnesota—Twin Cities (School of Public Health),UMTC-SPH,,
24,明尼苏达大学双城分校-统计学院,"Minneapolis, MN",University of Minnesota—Twin Cities (School of Statistics),UMTC-SS,,
24,威斯康辛大学麦迪逊分校一医学与公共卫生学院,"Madison, Wl",University of Wisconsin—Madison (School of Medicine and Public Health),UWM-SMPH,,
27,哥伦比亚大学-生物统计学系,"New York, NY","Columbia University (Dept, of Biostatistics)",CU-DB,,
27,普渡大学西拉法叶分校-统计学系,"West Lafayette, IN","Purdue University—West Lafayette (Dept, of Statistics)",PUWL-DS,,
27,加州大学洛杉矶分校-生物统计学系,"Los Angeles, CA","University of California—Los Angeles (Dept, of Biostatistics)",UCLA-DB,,
27,德克萨斯大学德森癌症中心-生物统计学系,"Houston, TX","University of Texas MD Anderson (Dept, of Biostatistics)",UTMDA-DB,,
